state_name,block_code,stage2_works_api,stage2_works_db,delta_fetch_stage2,works_sent_mq,works_processed_function_app,delta_processed_stage2,flagged_works_ai_rule,flagged_works_percen_ai_rule,stage2_works_sent_nic,last_updated_datetime
Andhar Pradesh,0208027,3,3.0,0.0,0.0,6.0,-6.0,2.0,33.33,6.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211032,5,5.0,0.0,0.0,10.0,-10.0,2.0,20.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213043,7,7.0,0.0,0.0,14.0,-14.0,0.0,0.0,14.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213008,3,3.0,0.0,0.0,6.0,-6.0,0.0,0.0,6.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204004,48,48.0,0.0,0.0,95.0,-95.0,19.0,20.0,95.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208042,10,10.0,0.0,0.0,20.0,-20.0,4.0,20.0,20.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205034,7,7.0,0.0,0.0,14.0,-14.0,4.0,28.57,14.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211015,19,19.0,0.0,0.0,38.0,-38.0,0.0,0.0,38.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205023,2,2.0,0.0,0.0,4.0,-4.0,0.0,0.0,4.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203020,39,39.0,0.0,0.0,77.0,-77.0,13.0,16.88,77.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208001,97,97.0,0.0,0.0,187.0,-187.0,36.0,19.25,187.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207054,37,37.0,0.0,0.0,71.0,-71.0,17.0,23.94,71.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206044,28,28.0,0.0,0.0,56.0,-56.0,10.0,17.86,56.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211006,1,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,2.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208033,10,10.0,0.0,0.0,20.0,-20.0,4.0,20.0,20.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206009,2,2.0,0.0,0.0,4.0,-4.0,2.0,50.0,4.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0202003,285,285.0,0.0,0.0,556.0,-556.0,129.0,23.2,556.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203001,178,178.0,0.0,0.0,352.0,-352.0,7.0,1.99,352.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0202015,23,23.0,0.0,0.0,45.0,-45.0,13.0,28.89,45.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207025,7,7.0,0.0,0.0,14.0,-14.0,4.0,28.57,14.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212040,11,11.0,0.0,0.0,22.0,-22.0,6.0,27.27,22.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204062,75,75.0,0.0,0.0,145.0,-145.0,13.0,8.97,145.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212032,3,3.0,0.0,0.0,6.0,-6.0,4.0,66.67,6.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210040,115,115.0,0.0,0.0,229.0,-229.0,12.0,5.24,229.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205029,56,56.0,0.0,0.0,111.0,-111.0,28.0,25.23,111.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203043,60,60.0,0.0,0.0,119.0,-119.0,20.0,16.81,119.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212026,9,9.0,0.0,0.0,16.0,-16.0,3.0,18.75,16.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210004,84,84.0,0.0,0.0,163.0,-163.0,26.0,15.95,163.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206050,38,38.0,0.0,0.0,75.0,-75.0,21.0,28.0,75.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211027,8,8.0,0.0,0.0,16.0,-16.0,0.0,0.0,16.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210066,30,30.0,0.0,0.0,58.0,-58.0,10.0,17.24,58.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213049,32,32.0,0.0,0.0,63.0,-63.0,7.0,11.11,63.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212014,10,10.0,0.0,0.0,18.0,-18.0,3.0,16.67,18.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212054,14,14.0,0.0,0.0,27.0,-27.0,10.0,37.04,27.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207047,4,4.0,0.0,0.0,8.0,-8.0,0.0,0.0,8.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211041,13,13.0,0.0,0.0,26.0,-26.0,2.0,7.69,26.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0213015,1,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,2.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203007,24,24.0,0.0,0.0,45.0,-45.0,7.0,15.56,45.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0201037,57,57.0,0.0,0.0,110.0,-110.0,23.0,20.91,110.0,2024-06-18 04:48:28.868147+00:00
